,sub_num,vid_str,wed_num,onsetTR,state,len_TRs,offsetTR,wed_id,wed_schema,path
0,3,vid1a_q,0,12,1b,17,29,20,S,Sb
1,3,vid1b_q,0,29,1b,6,35,20,S,Sb
2,3,vid2_q,0,35,2b,11,46,20,S,Sb
3,3,vid3_q,0,49,3a,15,64,20,S,Sb
4,3,vid4_q,0,67,4b,16,83,20,S,Sb
5,3,vid5_q,0,83,5,7,90,20,S,Sb
6,3,vid1a,1,111,1b,17,128,23,N,Na
7,3,vid1b,1,128,1b,6,134,23,N,Na
8,3,vid2,1,134,2a,11,145,23,N,Na
9,3,vid3,1,145,3a,15,160,23,N,Na
10,3,vid4,1,160,4a,16,176,23,N,Na
11,3,vid5,1,176,5,7,183,23,N,Na
12,3,vid1a,2,207,1b,17,224,6,N,Na
13,3,vid1b,2,224,1b,6,230,6,N,Na
14,3,vid2,2,230,2a,11,241,6,N,Na
15,3,vid3,2,241,3a,15,256,6,N,Na
16,3,vid4,2,257,4a,16,273,6,N,Na
17,3,vid5,2,273,5,7,280,6,N,Na
18,3,vid1a,3,303,1b,17,320,17,S,Sb
19,3,vid1b,3,320,1b,6,326,17,S,Sb
20,3,vid2,3,326,2b,11,337,17,S,Sb
21,3,vid3,3,337,3a,15,352,17,S,Sb
22,3,vid4,3,353,4b,16,369,17,S,Sb
23,3,vid5,3,369,5,7,376,17,S,Sb
24,3,vid1a,4,399,1b,17,416,38,S,Sb
25,3,vid1b,4,416,1b,6,422,38,S,Sb
26,3,vid2,4,422,2b,11,433,38,S,Sb
27,3,vid3,4,433,3a,15,448,38,S,Sb
28,3,vid4,4,449,4b,16,465,38,S,Sb
29,3,vid5,4,465,5,7,472,38,S,Sb
30,3,vid1a,5,495,1b,17,512,22,N,Nb
31,3,vid1b,5,512,1b,6,518,22,N,Nb
32,3,vid2,5,518,2b,11,529,22,N,Nb
33,3,vid3,5,529,3b,15,544,22,N,Nb
34,3,vid4,5,545,4b,16,561,22,N,Nb
35,3,vid5,5,561,5,7,568,22,N,Nb
36,3,vid1a,6,591,1b,17,608,34,N,Nb
37,3,vid1b,6,608,1b,6,614,34,N,Nb
38,3,vid2,6,614,2b,11,625,34,N,Nb
39,3,vid3,6,625,3b,15,640,34,N,Nb
40,3,vid4,6,641,4b,16,657,34,N,Nb
41,3,vid5,6,657,5,7,664,34,N,Nb
42,3,vid1a,7,687,1b,17,704,2,S,Sa
43,3,vid1b,7,704,1b,6,710,2,S,Sa
44,3,vid2,7,710,2a,11,721,2,S,Sa
45,3,vid3,7,721,3b,15,736,2,S,Sa
46,3,vid4,7,737,4a,16,753,2,S,Sa
47,3,vid5,7,753,5,7,760,2,S,Sa
48,3,vid1a,8,784,1b,17,801,29,S,Sa
49,3,vid1b,8,800,1b,6,806,29,S,Sa
50,3,vid2,8,806,2a,11,817,29,S,Sa
51,3,vid3,8,818,3b,15,833,29,S,Sa
52,3,vid4,8,833,4a,16,849,29,S,Sa
53,3,vid5,8,849,5,7,856,29,S,Sa
54,3,vid1a,9,880,1b,17,897,1,N,Nb
55,3,vid1b,9,896,1b,6,902,1,N,Nb
56,3,vid2,9,902,2b,11,913,1,N,Nb
57,3,vid3,9,914,3b,15,929,1,N,Nb
58,3,vid4,9,929,4b,16,945,1,N,Nb
59,3,vid5,9,945,5,7,952,1,N,Nb
60,3,vid1a,10,976,1b,17,993,19,N,Na
61,3,vid1b,10,993,1b,6,999,19,N,Na
62,3,vid2,10,999,2a,11,1010,19,N,Na
63,3,vid3,10,1010,3a,15,1025,19,N,Na
64,3,vid4,10,1025,4a,16,1041,19,N,Na
65,3,vid5,10,1041,5,7,1048,19,N,Na
66,3,vid1a_q,11,1075,1b,17,1092,28,S,Sa
67,3,vid1b_q,11,1092,1b,6,1098,28,S,Sa
68,3,vid2_q,11,1098,2a,11,1109,28,S,Sa
69,3,vid3_q,11,1112,3b,15,1127,28,S,Sa
70,3,vid4_q,11,1130,4a,16,1146,28,S,Sa
71,3,vid5_q,11,1146,5,7,1153,28,S,Sa
72,4,vid1a_q,0,12,1b,17,29,23,S,Sa
73,4,vid1b_q,0,29,1b,6,35,23,S,Sa
74,4,vid2_q,0,35,2a,11,46,23,S,Sa
75,4,vid3_q,0,49,3b,15,64,23,S,Sa
76,4,vid4_q,0,67,4a,16,83,23,S,Sa
77,4,vid5_q,0,83,5,7,90,23,S,Sa
78,4,vid1a,1,112,1b,17,129,29,N,Nb
79,4,vid1b,1,128,1b,6,134,29,N,Nb
80,4,vid2,1,134,2b,11,145,29,N,Nb
81,4,vid3,1,146,3b,15,161,29,N,Nb
82,4,vid4,1,161,4b,16,177,29,N,Nb
83,4,vid5,1,177,5,7,184,29,N,Nb
84,4,vid1a,2,207,1b,17,224,6,N,Na
85,4,vid1b,2,224,1b,6,230,6,N,Na
86,4,vid2,2,230,2a,11,241,6,N,Na
87,4,vid3,2,241,3a,15,256,6,N,Na
88,4,vid4,2,257,4a,16,273,6,N,Na
89,4,vid5,2,273,5,7,280,6,N,Na
90,4,vid1a,3,303,1b,17,320,28,S,Sb
91,4,vid1b,3,320,1b,6,326,28,S,Sb
92,4,vid2,3,326,2b,11,337,28,S,Sb
93,4,vid3,3,337,3a,15,352,28,S,Sb
94,4,vid4,3,352,4b,16,368,28,S,Sb
95,4,vid5,3,368,5,7,375,28,S,Sb
96,4,vid1a,4,399,1b,17,416,19,S,Sb
97,4,vid1b,4,416,1b,6,422,19,S,Sb
98,4,vid2,4,422,2b,11,433,19,S,Sb
99,4,vid3,4,433,3a,15,448,19,S,Sb
100,4,vid4,4,449,4b,16,465,19,S,Sb
101,4,vid5,4,465,5,7,472,19,S,Sb
102,4,vid1a,5,495,1b,17,512,1,N,Nb
103,4,vid1b,5,512,1b,6,518,1,N,Nb
104,4,vid2,5,518,2b,11,529,1,N,Nb
105,4,vid3,5,530,3b,15,545,1,N,Nb
106,4,vid4,5,545,4b,16,561,1,N,Nb
107,4,vid5,5,561,5,7,568,1,N,Nb
108,4,vid1a,6,592,1b,17,609,34,N,Nb
109,4,vid1b,6,608,1b,6,614,34,N,Nb
110,4,vid2,6,614,2b,11,625,34,N,Nb
111,4,vid3,6,626,3b,15,641,34,N,Nb
112,4,vid4,6,641,4b,16,657,34,N,Nb
113,4,vid5,6,657,5,7,664,34,N,Nb
114,4,vid1a,7,687,1b,17,704,20,S,Sa
115,4,vid1b,7,704,1b,6,710,20,S,Sa
116,4,vid2,7,710,2a,11,721,20,S,Sa
117,4,vid3,7,722,3b,15,737,20,S,Sa
118,4,vid4,7,737,4a,16,753,20,S,Sa
119,4,vid5,7,753,5,7,760,20,S,Sa
120,4,vid1a,8,783,1b,17,800,17,S,Sb
121,4,vid1b,8,800,1b,6,806,17,S,Sb
122,4,vid2,8,806,2b,11,817,17,S,Sb
123,4,vid3,8,817,3a,15,832,17,S,Sb
124,4,vid4,8,832,4b,16,848,17,S,Sb
125,4,vid5,8,848,5,7,855,17,S,Sb
126,4,vid1a,9,879,1b,17,896,22,N,Na
127,4,vid1b,9,896,1b,6,902,22,N,Na
128,4,vid2,9,902,2a,11,913,22,N,Na
129,4,vid3,9,913,3a,15,928,22,N,Na
130,4,vid4,9,929,4a,16,945,22,N,Na
131,4,vid5,9,945,5,7,952,22,N,Na
132,4,vid1a,10,976,1b,17,993,38,N,Na
133,4,vid1b,10,992,1b,6,998,38,N,Na
134,4,vid2,10,998,2a,11,1009,38,N,Na
135,4,vid3,10,1010,3a,15,1025,38,N,Na
136,4,vid4,10,1025,4a,16,1041,38,N,Na
137,4,vid5,10,1041,5,7,1048,38,N,Na
138,4,vid1a_q,11,1074,1b,17,1091,2,S,Sa
139,4,vid1b_q,11,1091,1b,6,1097,2,S,Sa
140,4,vid2_q,11,1097,2a,11,1108,2,S,Sa
141,4,vid3_q,11,1111,3b,15,1126,2,S,Sa
142,4,vid4_q,11,1129,4a,16,1145,2,S,Sa
143,4,vid5_q,11,1145,5,7,1152,2,S,Sa
144,5,vid1a_q,0,12,1b,17,29,23,S,Sb
145,5,vid1b_q,0,29,1b,6,35,23,S,Sb
146,5,vid2_q,0,35,2b,11,46,23,S,Sb
147,5,vid3_q,0,49,3a,15,64,23,S,Sb
148,5,vid4_q,0,67,4b,16,83,23,S,Sb
149,5,vid5_q,0,83,5,7,90,23,S,Sb
150,5,vid1a,1,112,1b,17,129,2,N,Nb
151,5,vid1b,1,128,1b,6,134,2,N,Nb
152,5,vid2,1,134,2b,11,145,2,N,Nb
153,5,vid3,1,146,3b,15,161,2,N,Nb
154,5,vid4,1,161,4b,16,177,2,N,Nb
155,5,vid5,1,177,5,7,184,2,N,Nb
156,5,vid1a,2,207,1b,17,224,28,N,Nb
157,5,vid1b,2,224,1b,6,230,28,N,Nb
158,5,vid2,2,230,2b,11,241,28,N,Nb
159,5,vid3,2,242,3b,15,257,28,N,Nb
160,5,vid4,2,257,4b,16,273,28,N,Nb
161,5,vid5,2,273,5,7,280,28,N,Nb
162,5,vid1a,3,303,1b,17,320,29,S,Sb
163,5,vid1b,3,320,1b,6,326,29,S,Sb
164,5,vid2,3,326,2b,11,337,29,S,Sb
165,5,vid3,3,338,3a,15,353,29,S,Sb
166,5,vid4,3,353,4b,16,369,29,S,Sb
167,5,vid5,3,369,5,7,376,29,S,Sb
168,5,vid1a,4,399,1b,17,416,19,S,Sa
169,5,vid1b,4,416,1b,6,422,19,S,Sa
170,5,vid2,4,422,2a,11,433,19,S,Sa
171,5,vid3,4,433,3b,15,448,19,S,Sa
172,5,vid4,4,449,4a,16,465,19,S,Sa
173,5,vid5,4,465,5,7,472,19,S,Sa
174,5,vid1a,5,496,1b,17,513,22,N,Nb
175,5,vid1b,5,512,1b,6,518,22,N,Nb
176,5,vid2,5,518,2b,11,529,22,N,Nb
177,5,vid3,5,530,3b,15,545,22,N,Nb
178,5,vid4,5,545,4b,16,561,22,N,Nb
179,5,vid5,5,561,5,7,568,22,N,Nb
180,5,vid1a,6,592,1b,17,609,34,N,Na
181,5,vid1b,6,608,1b,6,614,34,N,Na
182,5,vid2,6,614,2a,11,625,34,N,Na
183,5,vid3,6,626,3a,15,641,34,N,Na
184,5,vid4,6,641,4a,16,657,34,N,Na
185,5,vid5,6,657,5,7,664,34,N,Na
186,5,vid1a,7,688,1b,17,705,1,S,Sb
187,5,vid1b,7,704,1b,6,710,1,S,Sb
188,5,vid2,7,710,2b,11,721,1,S,Sb
189,5,vid3,7,722,3a,15,737,1,S,Sb
190,5,vid4,7,737,4b,16,753,1,S,Sb
191,5,vid5,7,753,5,7,760,1,S,Sb
192,5,vid1a,8,784,1b,17,801,38,S,Sa
193,5,vid1b,8,800,1b,6,806,38,S,Sa
194,5,vid2,8,806,2a,11,817,38,S,Sa
195,5,vid3,8,818,3b,15,833,38,S,Sa
196,5,vid4,8,833,4a,16,849,38,S,Sa
197,5,vid5,8,849,5,7,856,38,S,Sa
198,5,vid1a,9,880,1b,17,897,6,N,Na
199,5,vid1b,9,897,1b,6,903,6,N,Na
200,5,vid2,9,903,2a,11,914,6,N,Na
201,5,vid3,9,914,3a,15,929,6,N,Na
202,5,vid4,9,929,4a,16,945,6,N,Na
203,5,vid5,9,945,5,7,952,6,N,Na
204,5,vid1a,10,976,1b,17,993,20,N,Na
